"t","src_reg","dst_reg","sp1","sp2","sp3"
701,6,9,0,1,0
701,7,1,0,0,2
701,7,2,0,0,1
701,7,3,0,0,1
701,7,4,0,0,0
701,7,5,0,0,1
701,7,6,0,0,0
701,7,7,0,0,0
701,7,8,0,0,1
701,7,9,0,0,0
701,8,1,1,0,0
701,8,2,0,0,0
701,8,3,0,0,0
701,8,4,0,0,0
701,8,5,0,0,0
701,8,6,3,0,0
701,8,7,2,0,0
701,8,8,0,0,0
701,8,9,1,0,0
701,9,1,0,0,0
701,9,2,0,0,0
701,9,3,0,0,0
701,9,4,0,0,2
701,9,5,0,0,2
701,9,6,0,0,2
701,9,7,0,0,2
701,9,8,0,0,0
701,9,9,0,0,0
801,1,1,0,0,0
801,1,2,0,0,0
801,1,3,0,0,0
801,1,4,0,0,0
801,1,5,0,0,0
801,1,6,0,0,0
801,1,7,0,0,0
801,1,8,0,0,0
801,1,9,0,0,0
801,2,1,0,0,0
801,2,2,0,0,0
801,2,3,0,1,0
801,2,4,0,0,0
801,2,5,0,0,0
801,2,6,0,1,0
801,2,7,0,2,0
801,2,8,0,0,0
801,2,9,0,1,0
801,3,1,0,0,0
801,3,2,1,0,0
801,3,3,0,0,0
801,3,4,2,0,0
801,3,5,0,0,0
801,3,6,0,0,0
801,3,7,1,0,0
801,3,8,0,0,0
801,3,9,1,0,0
801,4,1,0,0,0
801,4,2,0,0,0
801,4,3,0,0,0
801,4,4,0,0,0
801,4,5,0,1,0
801,4,6,0,0,0
801,4,7,0,0,0
801,4,8,0,0,0
801,4,9,0,0,0
801,5,1,0,0,0
801,5,2,0,0,0
801,5,3,0,0,1
801,5,4,0,0,0
801,5,5,0,0,0
801,5,6,0,0,2
801,5,7,0,0,0
801,5,8,0,0,0
801,5,9,0,0,0
801,6,1,0,0,0
801,6,2,0,1,0
801,6,3,0,0,0
801,6,4,0,0,0
801,6,5,0,2,0
801,6,6,0,0,0
801,6,7,0,2,0
801,6,8,0,0,0
801,6,9,0,1,0
801,7,1,0,0,0
801,7,2,0,0,0
801,7,3,0,0,0
801,7,4,0,0,1
801,7,5,0,0,0
801,7,6,0,0,1
801,7,7,0,0,0
801,7,8,0,0,0
801,7,9,0,0,1
801,8,1,0,0,0
801,8,2,0,0,0
801,8,3,0,0,0
801,8,4,2,0,0
801,8,5,0,0,0
801,8,6,1,0,0
801,8,7,1,0,0
801,8,8,0,0,0
801,8,9,1,0,0
801,9,1,0,0,1
801,9,2,0,0,1
801,9,3,0,0,0
801,9,4,0,0,0
801,9,5,0,0,1
801,9,6,0,0,0
801,9,7,0,0,0
801,9,8,0,0,0
801,9,9,0,0,0
901,1,1,0,0,0
901,1,2,0,0,1
901,1,3,0,0,0
901,1,4,0,0,0
901,1,5,0,0,1
901,1,6,0,0,0
901,1,7,0,0,0
901,1,8,0,0,0
901,1,9,0,0,0
901,2,1,0,0,0
901,2,2,0,0,0
901,2,3,0,1,0
901,2,4,0,1,0
901,2,5,0,1,0
901,2,6,0,3,0
901,2,7,0,1,0
901,2,8,0,0,0
901,2,9,0,0,0
901,3,1,0,0,0
901,3,2,1,0,0
901,3,3,0,0,0
901,3,4,0,0,0
901,3,5,0,0,0
901,3,6,0,0,0
901,3,7,1,0,0
901,3,8,1,0,0
901,3,9,2,0,0
901,4,1,0,1,0
901,4,2,0,0,0
901,4,3,0,0,0
901,4,4,0,0,0
901,4,5,0,2,0
901,4,6,0,0,0
901,4,7,0,0,0
901,4,8,0,0,0
901,4,9,0,0,0
901,5,1,0,0,0
901,5,2,0,0,0
901,5,3,0,0,0
901,5,4,0,0,0
901,5,5,0,0,0
901,5,6,0,0,0
901,5,7,0,0,0
901,5,8,0,0,1
901,5,9,0,0,1
901,6,1,0,0,0
901,6,2,0,0,0
901,6,3,0,0,0
901,6,4,0,1,0
901,6,5,0,0,0
901,6,6,0,0,0
901,6,7,0,2,0
901,6,8,0,0,0
901,6,9,0,3,0
901,7,1,0,0,0
901,7,2,0,0,0
901,7,3,0,0,1
901,7,4,0,0,1
901,7,5,0,0,2
901,7,6,0,0,1
901,7,7,0,0,0
901,7,8,0,0,0
901,7,9,0,0,2
901,8,1,0,0,0
901,8,2,0,0,0
901,8,3,0,0,0
901,8,4,0,0,0
901,8,5,1,0,0
901,8,6,0,0,0
901,8,7,0,0,0
901,8,8,0,0,0
901,8,9,1,0,0
901,9,1,0,0,0
901,9,2,0,0,0
901,9,3,0,0,0
901,9,4,0,0,1
901,9,5,0,0,0
901,9,6,0,0,0
901,9,7,0,0,2
